Id конкурса;Обр. программы;Комментарий к конкурсу;Код НПС/УГСН;НПС/УГСН
22518;8221 - Прикладная информатика в области искусств и гуманитарных наук (с дополнительной квалификацией «Специалист по информационным системам»);26\5335\1 ГБ очн Прикладная информатика в области искусств и гуманитарных наук, ОсК;2.09.03.03;фи
22519;8294 - Академическое пение (с дополнительной квалификацией «Педагог дополнительного образования»);26\5333\1 ИН ДОГ очн Академическое пение, ДОГ;8.53.03.03;фи
22520;8298 - Реставрация произведений изобразительного и декоративно-прикладного искусства (с дополнительной квалификацией «Специалист по техническим процессам художественной деятельности»);26\5338\1 ДОГ очн Реставрация произведений изобразительного и декоративно-прикладного искусства, ДОГ;8.54.03.04;фи
22521;8297 - Декоративно-прикладное искусство (с дополнительной квалификацией «Педагог дополнительного образования»);26\5334\1 ГБ очн Декоративно-прикладное искусство, ОсК;8.54.03.02;фи
22522;8196 - Современное программирование (с дополнительной квалификацией «Программист»);26\5340\1 ГБ очн Современное программирование, ОтК;1.01.03.02;СП
22523;8193 - Математика (с дополнительной квалификацией «Специалист по научно-исследовательским разработкам»);26\5339\1 ГБ очн Математика, ОсК;1.01.03.01;М
22524;8295 - Графический дизайн (с дополнительной квалификацией «Графический дизайнер»);26\5336\1 ИН ДОГ очн Графический дизайн, ДОГ;8.54.03.01;фи
22525;8193 - Математика (с дополнительной квалификацией «Специалист по научно-исследовательским разработкам»);26\5339\1 ГБ очн Математика, ОтК;1.01.03.01;М
22526;8221 - Прикладная информатика в области искусств и гуманитарных наук (с дополнительной квалификацией «Специалист по информационным системам»);26\5335\1 ДОГ очн Прикладная информатика в области искусств и гуманитарных наук, ДОГ;2.09.03.03;фи
22527;8298 - Реставрация произведений изобразительного и декоративно-прикладного искусства (с дополнительной квалификацией «Специалист по техническим процессам художественной деятельности»);26\5338\1 ИН ДОГ очн Реставрация произведений изобразительного и декоративно-прикладного искусства, ДОГ;8.54.03.04;фи
22528;8296 - Дизайн среды (с дополнительной квалификацией «Художник-оформитель»);26\5337\1 ГБ очн Дизайн среды, ОтК;8.54.03.01;фи
22529;8255 - Журналистика (с дополнительной квалификацией «Специалист по информационным ресурсам»);26\5307\1 ГБ очн Журналистика, Б;5.42.03.02;журфак
22530;8295 - Графический дизайн (с дополнительной квалификацией «Графический дизайнер»);26\5336\1 ГБ очн Графический дизайн, Б;8.54.03.01;фи
22531;8295 - Графический дизайн (с дополнительной квалификацией «Графический дизайнер»);26\5336\1 ДОГ очн Графический дизайн, ДОГ;8.54.03.01;фи
22532;8196 - Современное программирование (с дополнительной квалификацией «Программист»);26\5340\1 ГБ очн Современное программирование, ОсК;1.01.03.02;СП
22533;8255 - Журналистика (с дополнительной квалификацией «Специалист по информационным ресурсам»);26\5307\1 ДОГ очн Журналистика, ДОГ;5.42.03.02;журфак
22534;8255 - Журналистика (с дополнительной квалификацией «Специалист по информационным ресурсам»);26\5307\1 ГБ очн Журналистика, ОсК;5.42.03.02;журфак
